status	old_path	new_path	additions	deletions	section
A		docs/01-app/03-api-reference/06-cli/index.mdx	11	0	app/api-reference
A		docs/01-app/03-api-reference/06-cli/next.mdx	342	0	app/api-reference
R	docs/02-app/02-api-reference/07-edge.mdx	docs/01-app/03-api-reference/07-edge.mdx	26	13	app/api-reference
A		docs/01-app/03-api-reference/08-turbopack.mdx	260	0	app/api-reference
R	docs/02-app/02-api-reference/index.mdx	docs/01-app/03-api-reference/index.mdx	0	2	app/api-reference
A		docs/01-app/04-glossary.mdx	272	0	app/glossary
A		docs/01-app/index.mdx	15	0	app/index
D		docs/01-getting-started/01-installation.mdx	0	195	getting-started/installation
D		docs/01-getting-started/02-project-structure.mdx	0	167	getting-started/project-structure
D		docs/01-getting-started/index.mdx	0	4	getting-started/index
D		docs/02-app/01-building-your-application/01-routing/01-defining-routes.mdx	0	58	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/02-pages.mdx	0	58	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/03-layouts-and-templates.mdx	0	306	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/04-linking-and-navigating.mdx	0	405	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/05-error-handling.mdx	0	266	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/06-loading-ui-and-streaming.mdx	0	184	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/08-route-groups.mdx	0	78	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/09-colocation.mdx	0	180	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/10-dynamic-routes.mdx	0	126	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/14-middleware.mdx	0	583	app/building-your-application
D		docs/02-app/01-building-your-application/01-routing/index.mdx	0	160	app/building-your-application
D		docs/02-app/01-building-your-application/02-data-fetching/01-fetching.mdx	0	619	app/building-your-application
D		docs/02-app/01-building-your-application/02-data-fetching/02-caching-and-revalidating.mdx	0	199	app/building-your-application
D		docs/02-app/01-building-your-application/02-data-fetching/03-server-actions-and-mutations.mdx	0	1006	app/building-your-application
D		docs/02-app/01-building-your-application/02-data-fetching/index.mdx	0	4	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/01-partial-prerendering.mdx	0	88	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/02-server-components.mdx	0	136	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/03-client-components.mdx	0	106	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/04-composition-patterns.mdx	0	560	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/05-edge-and-nodejs-runtimes.mdx	0	26	app/building-your-application
D		docs/02-app/01-building-your-application/03-rendering/index.mdx	0	78	app/building-your-application
D		docs/02-app/01-building-your-application/05-styling/01-stylesheets.mdx	0	367	app/building-your-application
D		docs/02-app/01-building-your-application/05-styling/02-tailwind-css.mdx	0	201	app/building-your-application
D		docs/02-app/01-building-your-application/05-styling/index.mdx	0	16	app/building-your-application
D		docs/02-app/01-building-your-application/06-optimizing/01-images.mdx	0	357	app/building-your-application
D		docs/02-app/01-building-your-application/06-optimizing/03-fonts.mdx	0	642	app/building-your-application
D		docs/02-app/01-building-your-application/06-optimizing/04-metadata.mdx	0	364	app/building-your-application
D		docs/02-app/01-building-your-application/06-optimizing/06-package-bundling.mdx	0	138	app/building-your-application
D		docs/02-app/01-building-your-application/06-optimizing/index.mdx	0	46	app/building-your-application
D		docs/02-app/01-building-your-application/07-configuring/01-typescript.mdx	0	344	app/building-your-application
D		docs/02-app/01-building-your-application/07-configuring/02-eslint.mdx	0	312	app/building-your-application
D		docs/02-app/01-building-your-application/07-configuring/04-absolute-imports-and-module-aliases.mdx	0	178	app/building-your-application
